Sample,Accelerometer Angle (Deg),Gyroscope Angle (Deg),Complementary Angle (Deg)
0,-16.64,-2.84,-16.7
1,-16.69,-2.82,-16.68
2,-16.74,-2.8,-16.67
3,-16.77,-2.78,-16.67
4,-16.71,-2.76,-16.66
5,-16.64,-2.74,-16.62
6,-16.7,-2.72,-16.63
